
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
339.017 135.607 118.656 0.116408 0.0922197 242.693 
CV Recruit
0.512142 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 25.3352 27.0976 29.9395 29.9395 29.9395 29.9395 2.16716e-13 
2024  0 25.3352 27.0976 31.823 31.823 31.823 31.823 7.53505e-10 
2025  0 25.3352 27.0976 30.25 30.25 30.25 30.25 1.43109e-08 
2026  0 25.3352 27.0976 37.4398 37.475 37.4814 37.5484 0.0354621 
2027  0 25.3352 27.0976 35.3843 35.4981 35.5179 35.7307 0.110521 
2028  0 25.3352 27.0976 33.3977 33.66 33.7039 34.1789 0.2508 
2029  0 25.3352 27.0976 31.4722 31.9907 32.0642 32.9144 0.462118 
2030  0 25.3352 27.0976 29.7246 30.52 30.6503 32.005 0.735703 
2031  0 25.3352 27.0976 28.0868 29.2866 29.4633 31.3975 1.05114 
2032  0 25.3352 27.0976 26.6408 28.3195 28.5142 31.0064 1.38181 
2033  0 25.3352 27.0976 25.4774 27.6028 27.7714 30.8447 1.70121 
2034  0 25.3352 27.0976 24.4673 27.0041 27.2134 30.8539 1.99681 
2035  0 25.3352 27.0976 23.3997 26.5241 26.7766 30.7361 2.30928 
2036  0 25.3352 27.0976 22.1179 26.2105 26.4387 30.6828 2.62204 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 339.017 135.607 118.656 232.21 232.21 232.21 232.21 7.95808e-13 
2024 339.017 135.607 118.656 226.208 226.216 226.218 226.236 0.00936947 
2025 339.017 135.607 118.656 219.622 219.662 219.668 219.741 0.0383858 
2026 339.017 135.607 118.656 211.984 212.105 212.126 212.352 0.117579 
2027 339.017 135.607 118.656 201.77 202.08 202.134 202.709 0.302571 
2028 339.017 135.607 118.656 191.275 192.013 192.133 193.451 0.694504 
2029 339.017 135.607 118.656 180.696 182.24 182.473 185.207 1.43535 
2030 339.017 135.607 118.656 170.364 173.298 173.746 178.671 2.66219 
2031 339.017 135.607 118.656 160.845 165.685 166.461 174.805 4.39227 
2032 339.017 135.607 118.656 152.409 159.6 160.744 172.571 6.43186 
2033 339.017 135.607 118.656 144.954 155.243 156.437 171.654 8.46736 
2034 339.017 135.607 118.656 139.453 152.278 153.211 171.508 10.2581 
2035 339.017 135.607 118.656 134.311 149.337 150.782 171.478 11.6977 
2036 339.017 135.607 118.656 130.988 147.36 148.919 171.819 12.7769 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2023  0 0.100793 0.121568 0.072253 0.072253 0.072253 0.072253 9.71445e-17 
2024  0 0.100793 0.121568 0.0791582 0.0791596 0.0791595 0.0791602 6.13812e-07 
2025  0 0.100793 0.121568 0.0778152 0.0778437 0.0778409 0.0778554 1.29682e-05 
2026  0 0.100793 0.121568 0.100793 0.100793 0.100793 0.100793 1.20737e-15 
2027  0 0.100793 0.121568 0.100793 0.100793 0.100793 0.100793 1.20737e-15 
2028  0 0.100793 0.121568 0.100793 0.100793 0.100793 0.100793 1.20737e-15 
2029  0 0.100793 0.121568 0.100793 0.100793 0.100793 0.100793 1.20737e-15 
2030  0 0.100793 0.121568 0.100793 0.100793 0.100793 0.100793 1.20737e-15 
2031  0 0.100793 0.121568 0.100793 0.100793 0.100793 0.100793 1.20737e-15 
2032  0 0.100793 0.121568 0.100793 0.100793 0.100793 0.100793 1.20737e-15 
2033  0 0.100793 0.121568 0.100793 0.100793 0.100793 0.100793 1.20737e-15 
2034  0 0.100793 0.121568 0.100793 0.100793 0.100777 0.100793 0.000160194 
2035  0 0.100793 0.121568 0.0997788 0.100793 0.100619 0.100793 0.000809397 
2036  0 0.100793 0.121568 0.097179 0.100793 0.100309 0.100793 0.00152757 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2023 1768.71 462.724 426.169 669.75 669.75 669.75 669.75 2.04636e-12 
2024 1768.71 462.724 426.169 646.668 649.174 649.919 655.5 2.913 
2025 1768.71 462.724 426.169 620.78 627.581 628.593 640.563 6.35787 
2026 1768.71 462.724 426.169 596.204 607.793 609.767 629.161 10.7549 
2027 1768.71 462.724 426.169 565.218 582.271 585.196 614.548 15.8288 
2028 1768.71 462.724 426.169 536.591 561.324 564.287 602.282 21.1611 
2029 1768.71 462.724 426.169 511.59 544.433 546.887 593.965 26.3861 
2030 1768.71 462.724 426.169 490.526 529.607 532.782 590.556 31.1337 
2031 1768.71 462.724 426.169 471.569 517.091 521.549 585.167 35.4025 
2032 1768.71 462.724 426.169 456.18 507.371 512.624 582.156 38.9894 
2033 1768.71 462.724 426.169 444.456 501.137 505.561 576.839 42.2125 
2034 1768.71 462.724 426.169 434.086 495.564 499.955 573.382 44.9784 
2035 1768.71 462.724 426.169 427.156 491.198 495.485 571.291 47.4663 
2036 1768.71 462.724 426.169 419.846 488.105 491.78 570.565 49.5048 
Alternative 2 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 25.3352 27.0976 29.9395 29.9395 29.9395 29.9395 2.16716e-13 
2024  0 25.3352 27.0976 31.823 31.823 31.823 31.823 7.53505e-10 
2025  0 25.3352 27.0976 30.25 30.25 30.25 30.25 1.43109e-08 
2026  0 25.3352 27.0976 37.4398 37.475 37.4814 37.5484 0.0354621 
2027  0 25.3352 27.0976 35.3843 35.4981 35.5179 35.7307 0.110521 
