"","Length","Wbar","SD_Wbar"
"1",80,6,1.63299316185545
"2",90,9.23076923076923,1.30088727117598
"3",100,11.0952380952381,1.84132457499382
"4",110,16.25,2.83244192751189
"5",120,21.6666666666667,1.93218356615859
"6",130,27.3913043478261,3.84406186139127
"7",140,34.5,3.84007211470746
"8",150,43.4646464646465,4.69109693301704
"9",160,52.7319587628866,5.61158671841412
"10",170,62.5089285714286,7.10411064320426
"11",180,76.7751479289941,8.02208841310969
"12",190,90.1125,8.61252432877885
"13",200,105.083650190114,10.1932022880349
"14",210,120.541484716157,11.3984563234624
"15",220,139.209090909091,13.0262085335228
"16",230,159.818181818182,13.5473988577246
"17",240,181.895910780669,15.5377591958374
"18",250,208.471223021583,18.0445967576177
"19",260,232.460815047022,19.4487926407442
"20",270,262.37074829932,21.5834429997817
"21",280,294.121428571429,25.5778992462538
"22",290,329.740863787375,27.5793272443579
"23",300,367.677966101695,32.0313625424423
"24",310,406.924836601307,34.1024142812394
"25",320,452.813471502591,40.2054002300391
"26",330,496.348008385744,38.5739557772139
"27",340,543.761904761905,42.0183484622834
"28",350,589.933898305085,43.6573014454316
"29",360,633.15127388535,48.7752164199364
"30",370,683.81067961165,51.4194126373662
"31",380,732.877742946709,56.5779003950135
"32",390,787.42328042328,57.1613612840771
"33",400,847.809145129225,67.9997023360664
"34",410,915.41686746988,73.5659499372064
"35",420,981.834415584416,85.7758338060882
"36",430,1052.77168949772,95.6894006495693
"37",440,1126.3984962406,94.915827131969
"38",450,1212.90909090909,109.307710380327
"39",460,1271.56097560976,107.894635821362
"40",470,1334.91666666667,113.501165160335
"41",480,1473,156.305790039909
"42",490,1552.66666666667,54.1233159861195
"43",500,1685.5,9.19238815542512
"44",520,2044,296.98484809835
