
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
339.017 135.607 118.656 0.116408 0.0922197 242.693 
CV Recruit
0.512142 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 25.3352 27.0976 29.9395 29.9395 29.9395 29.9395 2.16716e-13 
2024  0 25.3352 27.0976 40.1843 40.1846 40.1847 40.1853 0.00030463 
2025  0 25.3352 27.0976 38.1911 38.1968 38.1982 38.2104 0.00631301 
2026  0 25.3352 27.0976 36.2333 36.2682 36.2746 36.3407 0.0350722 
2027  0 25.3352 27.0976 34.3069 34.4201 34.44 34.6521 0.11016 
2028  0 25.3352 27.0976 32.4455 32.7075 32.7514 33.2256 0.250456 
2029  0 25.3352 27.0976 30.64 31.158 31.2317 32.0811 0.461782 
2030  0 25.3352 27.0976 29.0042 29.7991 29.9295 31.2832 0.735371 
2031  0 25.3352 27.0976 27.4691 28.6686 28.8451 30.7785 1.05082 
2032  0 25.3352 27.0976 26.1148 27.7933 27.988 30.4796 1.3815 
2033  0 25.3352 27.0976 25.0334 27.1581 27.3269 30.4006 1.70092 
2034  0 25.3352 27.0976 24.0942 26.6304 26.829 30.4791 2.01733 
2035  0 25.3352 27.0976 22.7596 26.2113 26.4317 30.4233 2.361 
2036  0 25.3352 27.0976 21.6076 25.9491 26.1322 30.4213 2.68417 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 339.017 135.607 118.656 232.21 232.21 232.21 232.21 7.95808e-13 
2024 339.017 135.607 118.656 224.927 224.935 224.938 224.956 0.00933296 
2025 339.017 135.607 118.656 214.764 214.803 214.809 214.88 0.0375499 
2026 339.017 135.607 118.656 205.121 205.241 205.261 205.483 0.11545 
2027 339.017 135.607 118.656 195.558 195.867 195.92 196.493 0.300625 
2028 339.017 135.607 118.656 185.71 186.447 186.567 187.881 0.692687 
2029 339.017 135.607 118.656 175.758 177.302 177.535 180.268 1.43358 
2030 339.017 135.607 118.656 166.022 168.954 169.402 174.325 2.66039 
2031 339.017 135.607 118.656 157.05 161.887 162.664 171.002 4.39038 
2032 339.017 135.607 118.656 149.108 156.3 157.441 169.263 6.42992 
2033 339.017 135.607 118.656 142.09 152.376 153.572 168.783 8.46551 
2034 339.017 135.607 118.656 136.974 149.798 150.731 169.021 10.2536 
2035 339.017 135.607 118.656 132.216 147.186 148.641 169.324 11.6813 
2036 339.017 135.607 118.656 129.358 145.497 147.08 169.95 12.7398 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2023  0 0.100793 0.121568 0.072253 0.072253 0.072253 0.072253 9.71445e-17 
2024  0 0.100793 0.121568 0.100793 0.100793 0.100793 0.100793 1.20737e-15 
2025  0 0.100793 0.121568 0.100793 0.100793 0.100793 0.100793 1.20737e-15 
2026  0 0.100793 0.121568 0.100793 0.100793 0.100793 0.100793 1.20737e-15 
2027  0 0.100793 0.121568 0.100793 0.100793 0.100793 0.100793 1.20737e-15 
2028  0 0.100793 0.121568 0.100793 0.100793 0.100793 0.100793 1.20737e-15 
