"","x"
"1","CATCH_ACTIVITY_DATE"
"2","WEEK_END_DATE"
"3","TRIP_TARGET_DATE"
"4","REPORTING_AREA_CODE"
"5","AGENCY_SPECIES_CODE"
"6","SPECIES_GROUP_CODE"
"7","SPECIES_GROUP_ID"
"8","RETAINED_OR_DISCARDED"
"9","WEIGHT_POSTED"
"10","AGENCY_GEAR_CODE"
"11","TRIP_TARGET_CODE"
"12","CATCH_REPORT_TYPE_CODE"
"13","CA_REFERENCE_KEY"
"14","CA_SPECIES_REFERENCE_KEY"
"15","CDQ_GROUP_ID"
"16","BSAI_PROCESSING_SECTOR"
"17","PSCNQ_PROCESSING_SECTOR"
"18","GOA_PROCESSING_SECTOR"
"19","HARVEST_SECTOR"
"20","VESSEL_ID"
"21","CATCHER_VESSEL_ID"
"22","PROCESSOR_PERMIT_ID"
"23","YEAR"
"24","PRIMARY_ACCOUNT"
"25","AFA_COOP_ID"
"26","SPECIAL_AREA_CODE"
"27","PCOD_DIRECTED_FISHING_FLAG"
"28","POLLOCK_DIRECTED_FISHING_FLAG"
"29","AKR_STATE_FISHERY_FLAG"
"30","AKR_STATE_FEDERAL_WATERS_CODE"
"31","ADFG_STAT_AREA_ID"
"32","ADFG_STAT_AREA_CODE"
"33","AKFIN_LOAD_DATE"
"34","WED"
"35","FMP_AREA"
"36","FMP_SUBAREA"
"37","SPECIAL_AREA_NAME"
"38","STATE_GHL_FISHERY"
"39","STATE_PCOD_FISHERY"
"40","FMP_GEAR"
"41","VES_AKR_ADFG"
"42","VES_AKR_NAME"
"43","VES_AKR_LENGTH"
"44","VES_AKR_CG_NUM"
"45","VES_AKR_HOMEPORT_CITY"
"46","VES_AKR_HOMEPORT_STATE"
"47","VES_AKR_NET_TONNAGE"
"48","VES_AKR_GROSS_TONNAGE"
"49","VES_AKR_HORSEPOWER"
"50","PROC_VES_ADFG"
"51","PROC_VES_NAME"
"52","PROC_VES_LENGTH"
"53","PROC_VES_HOMEPORT_CITY"
"54","PROC_VES_HOMEPORT_STATE"
"55","PROC_VES_NET_TONNAGE"
"56","PROC_VES_GROSS_TONNAGE"
"57","PROC_VES_SHAFT_HORSEPOWER"
"58","SPECIES_GROUP_NAME"
"59","SPECIES_NAME"
"60","AFA_VESSEL_FLAG"
"61","AFA_VESSEL_PERMIT_TYPE"
"62","AFA_PROCESSOR_FLAG"
"63","AFA_PROCESSOR_PERMIT_TYPE"
"64","AFA_MOTHERSHIP_FLAG"
"65","A80_VESSEL_FLAG"
"66","A80_PROCESSOR_FLAG"
"67","ITO_YEAR"
"68","ITO_COMPANY"
"69","ITO_ADFG"
"70","ITO_VNAME"
"71","ITO_TYPE"
"72","ITO_PLANT"
"73","ITO_CITY"
"74","ITO_STATE"
"75","ITO_ZIP"
"76","ITO_CODE"
"77","VES_CFEC_NAME"
"78","VES_CFEC_LENGTH"
"79","VES_CFEC_NET_TONNAGE"
"80","VES_CFEC_GROSS_TONNAGE"
"81","VES_CFEC_HORSEPOWER"
"82","VES_CFEC_CG_NUM"
"83","VES_CFEC_I_FILNUM"
"84","VES_CFEC_SEQ_NUM"
"85","VES_OWNER_CITY"
"86","VES_OWNER_STATE"
"87","VES_OWNER_ZIP"
"88","VES_OWNER_HIST_CITY"
"89","VES_OWNER_HIST_STATE"
"90","VES_OWNER_HIST_ZIP"
"91","VES_OWNER_NAMTYP"
"92","VES_OWNER_NAME"
"93","VES_CFEC_HOMEPORT_CITY"
"94","VES_CFEC_HOMEPORT_STATE"
"95","PRICE_SPEC_GRP"
"96","PRICE_TON"
"97","WHOLESALE_VALUE"
"98","PRIMARY_ACCT_NAME"
"99","PRIMARY_ACCT_SEASON"
"100","TRIP_TARGET_NAME"
"101","CDQ_GROUP_NAME"
"102","CDQ_FLAG"
"103","GF_PROCESSING_SECTOR"
"104","GF_HARVEST_SECTOR"
"105","FMP_GROUNDFISH_FLAG"
"106","AKFIN_SPECIES_CODE"
"107","GF_PRICING_FLAG"
"108","EXVES_PRICE_LB"
"109","EXVES_VALUE"
"110","AKFIN_YEAR"
"111","AKFIN_VDATE"
