length_cm,region,number_million_fish,biomass_ton
32,Barnabas Trough,0.016558801918555553,7.8350731077872355
33,Barnabas Trough,0.10822425557166361,54.35809200303347
34,Barnabas Trough,0.27072302231088674,145.35288269756896
35,Barnabas Trough,0.4166629871315922,246.4289832152232
36,Barnabas Trough,0.42715622510847195,266.91924616462353
37,Barnabas Trough,0.15584115969650075,103.85784154037589
38,Barnabas Trough,0.15849270442836677,113.71323233719087
39,Barnabas Trough,0.12077699517922734,93.6155909300482
40,Barnabas Trough,0.04004248721729161,33.69757310640706
41,Barnabas Trough,0.06386211136298695,56.731507491131964
42,Barnabas Trough,0.05975840489941492,56.92277220239281
43,Barnabas Trough,0.023808452062421243,23.897336950117975
44,Barnabas Trough,0.00265154473186314,2.762152026392772
45,Barnabas Trough,0.006838411310835242,7.74592857783097
31,Chiniak Trough,0.0410687107005983,17.38276047762037
33,Chiniak Trough,0.02812038939215162,14.124104671968327
34,Chiniak Trough,0.1406019469607507,75.49006408540592
35,Chiniak Trough,0.28120389392151623,166.31376387017224
36,Chiniak Trough,0.15355026826920914,95.94972388469921
37,Chiniak Trough,0.11248155756861083,74.96153009210904
38,Chiniak Trough,0.02812038939215162,20.175442042551136
39,Chiniak Trough,0.08436116817644722,65.38927879988024
40,Chiniak Trough,0.3471118846117131,292.1104287136706
41,Chiniak Trough,0.17089960866654924,151.81759923636753
43,Chiniak Trough,0.10325496882545454,103.64045404241789
1,GOA Shelf,0.11883849540290368,0.00578498154478537
31,GOA Shelf,0.24257131924608374,102.67084282083688
32,GOA Shelf,1.064821461392382,503.8380214820702
33,GOA Shelf,5.2175717158697985,2620.6439754707826
34,GOA Shelf,11.699972839107527,6281.7885421463425
35,GOA Shelf,12.666033968994796,7491.133046965721
36,GOA Shelf,22.11831516284871,13821.182187382918
37,GOA Shelf,26.888368686009894,17919.322082234987
38,GOA Shelf,20.881714712290943,14981.934248911355
39,GOA Shelf,19.52127161272029,15131.154530035608
40,GOA Shelf,13.95957771031643,11747.619169489239
41,GOA Shelf,11.449100117041837,10170.736532095843
42,GOA Shelf,5.887055665578605,5607.705378995911
43,GOA Shelf,3.043826255007148,3055.1898730256116
44,GOA Shelf,1.8340846739639844,1910.5922060773712
45,GOA Shelf,0.17411520253279475,197.22181978115182
47,GOA Shelf,0.1596649354456874,202.8669569633636
34,Shelikof Strait,1.5150721072858855,813.4516836027727
35,Shelikof Strait,0.9561409037708868,565.4949875651366
36,Shelikof Strait,3.167768936248949,1979.4596140393153
37,Shelikof Strait,4.403699711034196,2934.775047046217
38,Shelikof Strait,5.92014287568704,4247.505175208232
39,Shelikof Strait,6.912005969151184,5357.572626754613
40,Shelikof Strait,6.572793617227169,5531.304592242339
41,Shelikof Strait,5.515957143984957,4900.066054126944
42,Shelikof Strait,3.9738167226577503,3785.2527097854254
43,Shelikof Strait,2.1107030452786204,2118.583003314302
44,Shelikof Strait,0.9051896377796943,942.9489769555047
45,Shelikof Strait,0.04738838311270424,53.67723793224024
37,Shumagin Islands,0.01014906203381117,6.763679624457093
