
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
330.118 132.047 115.541 0.113234 0.0896536 227.78 
CV Recruit
0.512855 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 24.5073 26.2307 28.8122 28.8122 28.8122 28.8122 2.91323e-13 
2024  0 24.5073 26.2307 29.106 29.106 29.106 29.106 5.47397e-10 
2025  0 24.5073 26.2307 27.726 27.726 27.726 27.726 1.1634e-08 
2026  0 24.5073 26.2307 34.3932 34.4265 34.4326 34.4966 0.0337598 
2027  0 24.5073 26.2307 32.6234 32.7352 32.7547 32.9639 0.108893 
2028  0 24.5073 26.2307 30.9079 31.1727 31.2129 31.6911 0.252164 
2029  0 24.5073 26.2307 29.2277 29.7517 29.8252 30.6913 0.469989 
2030  0 24.5073 26.2307 27.6894 28.5103 28.6394 30.0259 0.752378 
2031  0 24.5073 26.2307 26.2519 27.4609 27.6563 29.6346 1.07665 
2032  0 24.5073 26.2307 24.9773 26.6873 26.8864 29.4399 1.41345 
2033  0 24.5073 26.2307 23.9816 26.1245 26.299 29.4546 1.73438 
2034  0 24.5073 26.2307 23.0989 25.6508 25.8743 29.5679 2.02351 
2035  0 24.5073 26.2307 22.2442 25.2771 25.556 29.511 2.3117 
2036  0 24.5073 26.2307 21.1692 25.0629 25.3207 29.6218 2.59491 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 330.118 132.047 115.541 217.879 217.879 217.879 217.879 1.81899e-12 
2024 330.118 132.047 115.541 211.893 211.901 211.903 211.921 0.00912254 
2025 330.118 132.047 115.541 206.307 206.346 206.352 206.423 0.0373487 
2026 330.118 132.047 115.541 200.13 200.248 200.268 200.488 0.114526 
2027 330.118 132.047 115.541 191.688 191.99 192.042 192.602 0.295032 
2028 330.118 132.047 115.541 182.818 183.537 183.653 184.938 0.677301 
2029 330.118 132.047 115.541 173.636 175.14 175.363 178.031 1.39915 
2030 330.118 132.047 115.541 164.466 167.318 167.748 172.545 2.59233 
2031 330.118 132.047 115.541 155.837 160.586 161.337 169.443 4.27079 
2032 330.118 132.047 115.541 148.211 155.145 156.286 167.75 6.2418 
2033 330.118 132.047 115.541 141.373 151.316 152.476 167.192 8.19902 
2034 330.118 132.047 115.541 136.385 148.723 149.613 167.281 9.91242 
2035 330.118 132.047 115.541 131.536 146.017 147.44 167.408 11.2847 
2036 330.118 132.047 115.541 128.522 143.973 145.749 167.793 12.3145 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2023  0 0.0996381 0.119494 0.0750682 0.0750682 0.0750682 0.0750682 7.91034e-16 
2024  0 0.0996381 0.119494 0.0782671 0.0782683 0.0782682 0.0782688 5.26344e-07 
2025  0 0.0996381 0.119494 0.0769749 0.0770025 0.0769998 0.0770138 1.25524e-05 
2026  0 0.0996381 0.119494 0.0996381 0.0996381 0.0996381 0.0996381 5.82867e-16 
2027  0 0.0996381 0.119494 0.0996381 0.0996381 0.0996381 0.0996381 5.82867e-16 
2028  0 0.0996381 0.119494 0.0996381 0.0996381 0.0996381 0.0996381 5.82867e-16 
2029  0 0.0996381 0.119494 0.0996381 0.0996381 0.0996381 0.0996381 5.82867e-16 
2030  0 0.0996381 0.119494 0.0996381 0.0996381 0.0996381 0.0996381 5.82867e-16 
2031  0 0.0996381 0.119494 0.0996381 0.0996381 0.0996381 0.0996381 5.82867e-16 
