"","Length","Wbar","SD_Wbar"
"1",80,6,1.63299316185545
"2",90,8.85,1.69441808051583
"3",100,11.1851851851852,1.88183701241913
"4",110,16.4375,2.6068819177963
"5",120,23.25,4.38472421614095
"6",130,28.2702702702703,3.6948586911912
"7",140,35.0606060606061,4.17919575755466
"8",150,43.9618320610687,4.89333075200345
"9",160,52.8217054263566,5.45213492072587
"10",170,63.5212121212121,7.03093155433925
"11",180,77.042471042471,8.0204517692871
"12",190,90.7441860465116,8.90067157310861
"13",200,105.470873786408,10.327325443509
"14",210,121.381909547739,11.5293896440179
"15",220,139.901098901099,13.2567815755657
"16",230,159.944584382872,13.7967552963782
"17",240,182.837155963303,15.658528437002
"18",250,208.253668763103,17.8375198279565
"19",260,233.187878787879,19.9766831324205
"20",270,263.473460721868,21.8124217127912
"21",280,295.684563758389,26.3439871327249
"22",290,330.400442477876,28.1463753918217
"23",300,369.008602150538,31.6529526048069
"24",310,408.409736308316,36.0139774487392
"25",320,454.186868686869,39.1532264219803
"26",330,499.334710743802,38.7246631790389
"27",340,546.045766590389,40.5727631024688
"28",350,591.068595927117,42.1437302809851
"29",360,635.489695780177,47.9889337461055
"30",370,683.482421875,50.4833885127763
"31",380,734.537181996086,54.721537864472
"32",390,792.472222222222,58.3974880217374
"33",400,851.69612590799,65.9739041853525
"34",410,915.848973607038,73.0070244270033
"35",420,981.579365079365,82.7778509935057
"36",430,1051.62643678161,89.6510275135815
"37",440,1124.18269230769,94.0579289507991
"38",450,1208.06870229008,107.486828591278
"39",460,1276.72463768116,122.020596629032
"40",470,1363.18918918919,115.40143409417
"41",480,1466,134.749458873372
"42",490,1532.5,59.8303156156364
"43",500,1685.5,9.19238815542512
"44",520,2044,296.98484809835
