"weight","value","variable","model"
"75",0.148147,"SSQ Catch Likelihood","cie_4_earlycatch-wt75"
"1",16.2891,"Bottom Trawl Survey Likelihood","cie_4_earlycatch-wt75"
"1",20.8997,"Fishery Age Composition Likelihood","cie_4_earlycatch-wt75"
"1",26.371,"Bottom Trawl Survey Age Composition Likelihood","cie_4_earlycatch-wt75"
"1",65.4143,"Fishery Size Composition Likelihood","cie_4_earlycatch-wt75"
"0",0,"Fishery CPUE Likelihood","cie_4_earlycatch-wt75"
"0",0,"Alternative Survey Abundance Index Likelihood","cie_4_earlycatch-wt75"
"0",0,"Bottom Trawl Survey Size Composition Likelihood","cie_4_earlycatch-wt75"
"0",0,"Alternative Survey Size Composition Likelihood","cie_4_earlycatch-wt75"
"1",11.0897,"Recruitment Deviations Likelihood","cie_4_earlycatch-wt75"
"0.1",5.93848,"Fishing Mortality Deviations Penalty","cie_4_earlycatch-wt75"
"1",7.79528,"Priors SigmaR","cie_4_earlycatch-wt75"
"1",0.531269,"Priors q Bottom Trawl Survey","cie_4_earlycatch-wt75"
"1",2.10781,"Priors M","cie_4_earlycatch-wt75"
"1",0,"Priors q Alternative Survey","cie_4_earlycatch-wt75"
"1",103.516,"Maturity Likelihood","cie_4_earlycatch-wt75"
"1",260.101,"Objective Function","cie_4_earlycatch-wt75"
"1",129.122,"Data Likelihood","cie_4_earlycatch-wt75"
